nome,partido,uf,cargo,sequencial
"PRISCILA DE ANGELIS",PSDC,SP,"DEPUTADO ESTADUAL",250000001953
"VALERIA  APARECIDA DE CAMPOS CARDOSO",PSC,SP,"DEPUTADO ESTADUAL",250000000462
"RICARDO ALVAREZ",PSOL,SP,"DEPUTADO FEDERAL",250000001811
"HELOISE VICENTE FELIPPE",PSDC,SP,"DEPUTADO ESTADUAL",250000001943
"ADEL CHARAF EDDINE",PMDB,SP,"DEPUTADO FEDERAL",250000002136
"EDUARDO JOSE GONÇALVES",PSB,SP,"DEPUTADO ESTADUAL",250000001110
"IRANILDO ARAUJO DOS SANTOS",PTB,SP,"DEPUTADO ESTADUAL",250000002413
"REGINA CELI SILVA VENTURA",PTB,SP,"DEPUTADO ESTADUAL",250000002555
"RUBENS DE SOUZA FERNANDES",SD,SP,"DEPUTADO FEDERAL",250000000845
"CLAUDETE MARIA BENACCI",PEN,SP,"DEPUTADO ESTADUAL",250000003946
"PAULO CESAR NEME",PSC,SP,"DEPUTADO FEDERAL",250000000494
"HELIO APARECIDO DE GODOY",PSD,SP,"DEPUTADO ESTADUAL",250000003649
"ROSANGELA APARECIDA DONIZETI VIEL",PEN,SP,"DEPUTADO FEDERAL",250000003826
"REINALDO HUNGER FILHO",PEN,SP,"DEPUTADO ESTADUAL",250000003830
"CAROLINA COLTRO ALVES",PSTU,SP,"DEPUTADO ESTADUAL",250000003544
"ISAIAS RIBEIRO DE ARRUDA",PTB,SP,"DEPUTADO FEDERAL",250000002507
"WAGNER NESPOLI",PRP,SP,"DEPUTADO ESTADUAL",250000002875
"MARCO RONEI SOARES DE OLIVEIRA",PTB,SP,"DEPUTADO FEDERAL",250000002429
"MARIA JOSÉ MIRANDA COUTO",PMDB,SP,"DEPUTADO ESTADUAL",250000002682
"MARIA CANDIDA MACEDO DE BARROS",PHS,SP,"DEPUTADO FEDERAL",250000002890
"ELIAS ANTONIO DOS SANTOS",PSOL,SP,"DEPUTADO ESTADUAL",250000001687
"GILMARA DOMINGOS DOS SANTOS",PR,SP,"DEPUTADO FEDERAL",250000000687
"LUIZ ANTÔNIO XAVIER",PSTU,SP,"DEPUTADO ESTADUAL",250000001880
"SEONG SOO KIM",PSL,SP,"DEPUTADO ESTADUAL",250000000265
"MIGUEL FRANCISCO LOPES",PSD,SP,"DEPUTADO ESTADUAL",250000002696
"RODRIGO FERNANDO ASSIS DOS SANTOS",PSOL,SP,"DEPUTADO ESTADUAL",250000001773
"SERGIO FERNANDES FILHO",PRB,SP,"DEPUTADO FEDERAL",250000001287
"HELENA PEREIRA CRUZ",SD,SP,"DEPUTADO ESTADUAL",250000000849
"MARIA GONÇALVES DE LIMA",PDT,SP,"DEPUTADO FEDERAL",250000002042
"LUIZ CARLOS PRATES",PSTU,SP,"DEPUTADO ESTADUAL",250000001881
"DEBORA MARCELINO DA SILVA CARDOSO",PSB,SP,"DEPUTADO FEDERAL",250000001425
"LIDIA TAVARES DA SILVA",PTN,SP,"DEPUTADO FEDERAL",250000000232
"SILVANO BORGES",PEN,SP,"DEPUTADO ESTADUAL",250000003086
"ANTONIO BRAZ DO NASCIMENTO","PC do B",SP,"DEPUTADO ESTADUAL",250000000054
"FÁBIO GALAN JACOBS",PEN,SP,"DEPUTADO ESTADUAL",250000003045
"RUBENS BENEDITO FERNANDES",PROS,SP,"DEPUTADO FEDERAL",250000002180
"ROBERTO RILLO BISCARO","PC do B",SP,"DEPUTADO ESTADUAL",250000000087
"ORLANDO JOSÉ BOLÇONE",PSB,SP,"DEPUTADO ESTADUAL",250000001199
"CLAYTON DOS SANTOS",PRP,SP,"DEPUTADO ESTADUAL",250000002827
"JOSE CARLOS FLAUSINO",PRP,SP,"DEPUTADO ESTADUAL",250000002785
"JOSE ALIXANDRE ANTONIO DE OLIVEIRA",PRP,SP,"DEPUTADO ESTADUAL",250000002848
"RAQUEL SOUZA LOBO GUZZO",PSOL,SP,"DEPUTADO ESTADUAL",250000001715
"GLEYSON FARNEY LIMA DIAS",PHS,SP,"DEPUTADO FEDERAL",250000002925
"EDINALVA BARNABE ALVES DE AZEVEDO",PRB,SP,"DEPUTADO FEDERAL",250000001223
"FRANCISCO ANTONIO SARDELLI",PV,SP,"DEPUTADO ESTADUAL",250000001026
"CLAUDIA CRISTINA ALVES DE SOUZA",PSTU,SP,"DEPUTADO ESTADUAL",250000001862
"JÚLIO CÉSAR DA SILVA",PR,SP,"DEPUTADO ESTADUAL",250000000731
"TARCISIO CANDIDO DE AGUIAR",PHS,SP,"DEPUTADO FEDERAL",250000002953
"GIRLÊNIO GOMES DE OLIVEIRA",PSL,SP,"DEPUTADO ESTADUAL",250000000205
"VALTENCIR DE FARIAS QUEIROZ",PSOL,SP,"DEPUTADO ESTADUAL",250000001793
"MARCOS AURELIO FRANCO DO NASCIMENTO",PDT,SP,"DEPUTADO FEDERAL",250000002077
"OSMAR DE AZEVEDO",PR,SP,"DEPUTADO FEDERAL",250000000699
"JOSIMAR PERES SALES",PRB,SP,"DEPUTADO FEDERAL",250000001245
"ELENICE RODRIGUES DIAS PEREIRA",SD,SP,"DEPUTADO ESTADUAL",250000000794
"SUELY BRITO DE MIRANDA",PRB,SP,"DEPUTADO FEDERAL",250000001233
"DOUGLAS AUGUSTO PINHEIRO DE OLIVEIRA",PPS,SP,"DEPUTADO FEDERAL",250000001359
"RAFAEL MARMO",PSOL,SP,"DEPUTADO FEDERAL",250000001771
"FERNANDO DOS SANTOS RAMOS",PSOL,SP,"DEPUTADO ESTADUAL",250000001683
"VINICIUS RAPOZO DE CARVALHO",PRB,SP,"DEPUTADO FEDERAL",250000001276
"KATIA MARIA RAMOS",PHS,SP,"DEPUTADO ESTADUAL",250000003325
"LUIZ CARLOS DOS SANTOS",PEN,SP,"DEPUTADO ESTADUAL",250000003076
"JOÃO EVANGELISTA DOS SANTOS",PHS,SP,"DEPUTADO ESTADUAL",250000003324
"CARLOS ALBERTO PINHEIRO DOS SANTOS",PEN,SP,"DEPUTADO ESTADUAL",250000003074
"DERMEVAL DE SOUZA PEREIRA",PEN,SP,"DEPUTADO ESTADUAL",250000003073
"JOSÉ CARLOS TREVENZOLLI FILHO",PEN,SP,"DEPUTADO FEDERAL",250000003069
